Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,5.813000,5.967000,5.798000,5.910000,4.889756,2360293
2013-07-02,5.658000,5.895000,5.560000,5.837000,4.829358,4139823
2013-07-03,5.770000,5.780000,5.663000,5.689000,4.706907,3421579
2013-07-04,5.711000,5.900000,5.710000,5.857000,4.845905,6258224
2013-07-05,5.850000,5.890000,5.715000,5.743000,4.751585,3837818
2013-07-08,5.765000,5.950000,5.762000,5.898000,4.879827,6771072
2013-07-09,5.950000,5.980000,5.887000,5.916000,4.894720,25513704
2013-07-10,5.870000,5.939000,5.787000,5.900000,4.881483,45138153
2013-07-11,5.962000,5.962000,5.810000,5.845000,4.835977,3931215
2013-07-12,5.870000,5.910000,5.730000,5.749000,4.756550,2989380
2013-07-15,5.788000,5.846000,5.730000,5.767000,4.771442,2337150
2013-07-16,5.708000,5.829000,5.501000,5.787000,4.898410,21865688
2013-07-17,5.802000,5.823000,5.590000,5.662000,4.792603,44084404
2013-07-18,5.651000,5.805000,5.650000,5.790000,4.900949,7551987
2013-07-19,5.782000,5.823000,5.710000,5.814000,4.921264,7163876
2013-07-22,5.821000,5.865000,5.723000,5.736000,4.855241,6898567
2013-07-23,5.759000,5.820000,5.740000,5.746000,4.863705,1488038
2013-07-24,5.771000,5.860000,5.743000,5.850000,4.951735,3481603
2013-07-25,5.835000,5.860000,5.775000,5.826000,4.931421,1658802
2013-07-26,5.859000,5.918000,5.735000,5.769000,4.883173,3205697
2013-07-29,5.900000,5.968000,5.831000,5.933000,5.021991,4730461
2013-07-30,5.970000,6.200000,5.949000,6.180000,5.231065,5697943
2013-07-31,6.180000,6.288000,6.148000,6.228000,5.271695,4723343
2013-08-01,6.250000,6.328000,6.242000,6.286000,5.320788,3615529
2013-08-02,6.300000,6.316000,6.210000,6.289000,5.323328,2660134
2013-08-05,6.291000,6.380000,6.279000,6.319000,5.348721,3030463
2013-08-06,6.336000,6.350000,6.125000,6.200000,5.247993,3973861
2013-08-07,6.202000,6.223000,6.145000,6.208000,5.254766,2091900
2013-08-08,6.229000,6.249000,6.161000,6.223000,5.267462,1931884
2013-08-09,6.220000,6.311000,6.200000,6.311000,5.341950,2026682
2013-08-12,6.320000,6.348000,6.256000,6.273000,5.309784,1158802
2013-08-13,6.276000,6.379000,6.265000,6.293000,5.326714,1818701
2013-08-14,6.319000,6.410000,6.280000,6.398000,5.415591,3540650
2013-08-15,6.403000,6.403000,6.222000,6.261000,5.299627,1686666
2013-08-16,6.261000,6.392000,6.254000,6.374000,5.395276,2774892
2013-08-19,6.358000,6.388000,6.250000,6.270000,5.307245,1552301
2013-08-20,6.228000,6.244000,6.031000,6.082000,5.148112,10065101
2013-08-21,6.111000,6.170000,6.073000,6.087000,5.152345,2265898
2013-08-22,6.113000,6.240000,6.100000,6.203000,5.250533,3164266
2013-08-23,6.205000,6.246000,6.155000,6.238000,5.280159,1447719
